POC,x,y,width,height,qtDepth,mtDepth,predMode
0,0,0,8,8,4,0,1
0,8,0,4,8,4,1,1
0,12,0,4,8,4,1,1
0,0,8,8,8,4,0,1
0,8,8,8,4,4,1,1
0,8,12,4,4,4,2,1
0,12,12,4,4,4,2,1
0,16,0,8,4,3,3,1
0,24,0,8,4,3,3,1
0,16,4,16,4,3,2,1
0,16,8,16,4,3,2,1
0,16,12,16,4,3,2,1
0,0,16,4,8,3,3,1
0,0,24,4,8,3,3,1
0,4,16,4,16,3,2,1
0,8,16,8,4,3,3,1
0,8,20,8,4,3,3,1
0,8,24,8,8,3,2,1
0,16,16,16,4,3,2,1
0,16,20,16,4,3,2,1
0,16,24,16,4,3,2,1
0,16,28,16,4,3,2,1
0,32,0,8,4,3,3,1
0,40,0,8,4,3,3,1
0,32,4,16,4,3,2,1
0,32,8,16,4,3,2,1
0,32,12,16,4,3,2,1
0,48,0,4,4,3,3,1
0,48,4,4,4,3,3,1
0,52,0,8,4,3,3,1
0,52,4,8,4,3,3,1
0,60,0,4,8,3,2,1
0,48,8,16,4,3,2,1
0,48,12,16,4,3,2,1
0,32,16,8,4,3,3,1
0,40,16,8,4,3,3,1
0,32,20,16,4,3,2,1
0,32,24,16,4,3,2,1
0,32,28,16,4,3,2,1
0,48,16,16,8,3,1,1
0,48,24,16,4,3,2,1
0,48,28,4,4,3,3,1
0,52,28,8,4,3,3,1
0,60,28,4,4,3,3,1
0,0,32,8,8,3,2,1
0,8,32,8,4,3,3,1
0,8,36,8,4,3,3,1
0,0,40,8,4,3,3,1
0,0,44,8,4,3,3,1
0,8,40,8,8,3,2,1
0,16,32,8,4,3,3,1
0,16,36,8,4,3,3,1
0,16,40,8,8,3,2,1
0,24,32,4,16,3,2,1
0,28,32,4,16,3,2,1
0,0,48,4,4,3,3,1
0,4,48,8,4,3,3,1
0,12,48,4,4,3,3,1
0,0,52,4,4,3,3,1
0,4,52,8,4,3,3,1
0,12,52,4,4,3,3,1
0,0,56,8,4,3,3,1
0,8,56,8,4,3,3,1
0,0,60,4,4,3,3,1
0,4,60,8,4,3,3,1
0,12,60,4,4,3,3,1
0,16,48,16,4,3,2,1
0,16,52,16,4,3,2,1
0,16,56,16,4,3,2,1
0,16,60,4,4,3,3,1
0,20,60,8,4,3,3,1
0,28,60,4,4,3,3,1
0,32,32,16,4,3,2,1
0,32,36,8,4,3,3,1
0,40,36,8,4,3,3,1
0,32,40,16,4,3,2,1
0,32,44,16,4,3,2,1
0,48,32,8,4,3,3,1
0,56,32,8,4,3,3,1
0,48,36,8,4,3,3,1
0,56,36,8,4,3,3,1
0,48,40,4,8,3,3,1
0,52,40,4,8,3,3,1
0,56,40,8,8,3,2,1
0,32,48,16,4,3,1,1
0,32,52,4,8,3,2,1
0,36,52,8,4,3,3,1
0,36,56,8,4,3,3,1
0,44,52,4,4,3,3,1
0,44,56,4,4,3,3,1
0,32,60,16,4,3,1,1
0,48,48,16,4,3,2,1
0,48,52,16,4,3,2,1
0,48,56,16,4,3,2,1
0,48,60,16,4,3,2,1
0,64,0,8,4,3,3,1
0,72,0,8,4,3,3,1
0,64,4,4,4,3,3,1
0,68,4,8,4,3,3,1
0,76,4,4,4,3,3,1
0,64,8,16,4,3,2,1
0,64,12,8,4,3,3,1
0,72,12,8,4,3,3,1
0,80,0,16,4,3,1,1
0,80,4,8,4,3,3,1
0,80,8,8,4,3,3,1
0,88,4,8,4,3,3,1
0,88,8,8,4,3,3,1
0,80,12,8,4,3,2,1
0,88,12,4,4,3,3,1
0,92,12,4,4,3,3,1
0,64,16,4,4,3,3,1
0,64,20,4,4,3,3,1
0,68,16,8,8,3,2,1
0,76,16,4,8,3,2,1
0,64,24,4,4,3,3,1
0,68,24,8,4,3,3,1
0,76,24,4,4,3,3,1
0,64,28,8,4,3,3,1
0,72,28,8,4,3,3,1
0,80,16,16,4,3,1,1
0,80,20,4,8,3,3,1
0,84,20,4,8,3,3,1
0,88,20,8,4,3,3,1
0,88,24,8,4,3,3,1
0,80,28,16,4,3,1,1
0,96,0,4,4,3,3,1
0,100,0,4,4,3,3,1
0,104,0,8,4,3,2,1
0,96,4,16,8,3,1,1
